,lat,lon,date,temp,pop
0,42.5251,3.0832,2024-07-07,24.21,0.0
1,42.5251,3.0832,2024-07-08,23.39,0.02
2,42.5251,3.0832,2024-07-09,24.91,0.0
3,42.5251,3.0832,2024-07-10,25.35,0.0
4,42.5251,3.0832,2024-07-11,27.31,0.0
5,42.5251,3.0832,2024-07-12,25.2,0.0
6,42.8458,1.6068,2024-07-07,19.78,0.0
7,42.8458,1.6068,2024-07-08,23.44,0.0
8,42.8458,1.6068,2024-07-09,25.57,0.0
9,42.8458,1.6068,2024-07-10,24.18,0.25
10,42.8458,1.6068,2024-07-11,24.02,0.15
11,42.8458,1.6068,2024-07-12,19.95,0.69
12,43.1507,6.3419,2024-07-07,25.28,0.0
13,43.1507,6.3419,2024-07-08,22.18,0.0
14,43.1507,6.3419,2024-07-09,23.3,0.0
15,43.1507,6.3419,2024-07-10,24.28,0.0
16,43.1507,6.3419,2024-07-11,24.45,0.0
17,43.1507,6.3419,2024-07-12,24.15,0.0
18,43.213,2.3491,2024-07-07,20.86,0.0
19,43.213,2.3491,2024-07-08,21.9,0.0
20,43.213,2.3491,2024-07-09,23.5,0.0
21,43.213,2.3491,2024-07-10,25.93,0.0
22,43.213,2.3491,2024-07-11,25.66,0.25
23,43.213,2.3491,2024-07-12,19.86,0.6
24,43.214,5.5396,2024-07-07,23.41,0.0
25,43.214,5.5396,2024-07-08,22.44,0.0
26,43.214,5.5396,2024-07-09,23.26,0.0
27,43.214,5.5396,2024-07-10,23.84,0.0
28,43.214,5.5396,2024-07-11,25.24,0.0
29,43.214,5.5396,2024-07-12,24.09,0.01
30,43.2962,5.37,2024-07-07,24.68,0.0
31,43.2962,5.37,2024-07-08,23.3,0.0
32,43.2962,5.37,2024-07-09,23.98,0.0
33,43.2962,5.37,2024-07-10,24.62,0.0
34,43.2962,5.37,2024-07-11,26.29,0.0
35,43.2962,5.37,2024-07-12,25.05,0.11
36,43.4516,4.4277,2024-07-07,24.47,0.0
37,43.4516,4.4277,2024-07-08,21.83,0.0
38,43.4516,4.4277,2024-07-09,21.98,0.0
39,43.4516,4.4277,2024-07-10,22.4,0.0
40,43.4516,4.4277,2024-07-11,24.16,0.0
41,43.4516,4.4277,2024-07-12,23.41,0.26
42,43.4833,-1.5593,2024-07-07,19.31,0.0
43,43.4833,-1.5593,2024-07-08,21.03,0.0
44,43.4833,-1.5593,2024-07-09,20.5,0.15
45,43.4833,-1.5593,2024-07-10,21.02,0.15
46,43.4833,-1.5593,2024-07-11,20.15,0.05
47,43.4833,-1.5593,2024-07-12,18.69,0.76
48,43.4945,-1.4737,2024-07-07,19.13,0.0
49,43.4945,-1.4737,2024-07-08,21.38,0.0
50,43.4945,-1.4737,2024-07-09,20.65,0.15
51,43.4945,-1.4737,2024-07-10,21.2,0.15
52,43.4945,-1.4737,2024-07-11,20.14,0.05
53,43.4945,-1.4737,2024-07-12,18.36,0.72
